Type;Name;Version;purl;Supplier;Website;Source;Description;Licenses;Direct Dependency of;SHA-512 Hash;BomRef
library;@babel/helper-validator-identifier;7.28.5;pkg:npm/%40babel/helper-validator-identifier@7.28.5;@babel;https://www.npmjs.com/package/@babel/helper-validator-identifier;https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.28.5.tgz;;MIT;;80a426a38f1a57851c5cda7dd65cfc0171b7c367ffcffa2afd98c0966c4834789d7bee0f2079fd23c9bde3e4bccb7408ff45c21fc8e807a61aca62cf168f3e5e;e82ea0cb-c383-4a20-b636-2a44ff930351
library;@babel/helper-validator-option;7.27.1;pkg:npm/%40babel/helper-validator-option@7.27.1;@babel;https://www.npmjs.com/package/@babel/helper-validator-option;https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.27.1.tgz;;MIT;;e6f98eba13159f3f30be24ccb9a9005795c5588bd2f4bfc6ad15f1a7027e8e2a6d03f6a27c2e248fcb1beac07816be167deb3a9f65a919fd79bc5f26a7cb412f;8c24eaf7-c3b6-446d-87e9-a1123eac7e7b
library;@babel/parser;7.29.2;pkg:npm/%40babel/parser@7.29.2;@babel;https://www.npmjs.com/package/@babel/parser;https://registry.npmjs.org/@babel/parser/-/parser-7.29.2.tgz;;MIT;;4a1aa3903f2ddf36ab7621765b94d4107a17b8605dbf5b9d0a1321c8bfaf1c962922d9a053676d9d8f5f3caa589c5839ca492aa94cdcd76477b8a3bb42fc7499;e9692edb-7a57-4e05-9ccc-e063f381048d
library;@babel/plugin-proposal-decorators;7.29.0;pkg:npm/%40babel/plugin-proposal-decorators@7.29.0;@babel;https://www.npmjs.com/package/@babel/plugin-proposal-decorators;https://registry.npmjs.org/@babel/plugin-proposal-decorators/-/plugin-proposal-decorators-7.29.0.tgz;;MIT;;3e86b676a5d70ea130d3089d9b94cb74aa801748cdd205fd43d6e82adb0cbe2844b8f332693454740ac7aab16d4c21313f72e13c172e447c76f14f61c2665cf0;777ba604-ffe8-4d86-a5f9-efc76dd34ff5
library;@babel/plugin-syntax-decorators;7.28.6;pkg:npm/%40babel/plugin-syntax-decorators@7.28.6;@babel;https://www.npmjs.com/package/@babel/plugin-syntax-decorators;https://registry.npmjs.org/@babel/plugin-syntax-decorators/-/plugin-syntax-decorators-7.28.6.tgz;;MIT;;da43cc4185afc5910ea384de7c9094871fadc296cdb3c195bab8c3f952dfbdaa14e94e8e6c4a90ed986cac0dcbacc9c7f3eaeba9d2165616a8d20e6c35172085;a517a653-7a13-4511-8bfd-1b3d96de39ba
library;@babel/plugin-syntax-import-attributes;7.28.6;pkg:npm/%40babel/plugin-syntax-import-attributes@7.28.6;@babel;https://www.npmjs.com/package/@babel/plugin-syntax-import-attributes;https://registry.npmjs.org/@babel/plugin-syntax-import-attributes/-/plugin-syntax-import-attributes-7.28.6.tgz;;MIT;;34e03da7efe0dae91ef359ab6dfb94f1332b966fbad1ab24c8dbf15dfc11bb2778410e2cb02022f8a5ed3369b2515a3504407add53955cd5c2653d9b78daa932;3cb0a398-5e44-4ef3-8709-b7797117b9ff
library;@babel/plugin-syntax-import-meta;7.10.4;pkg:npm/%40babel/plugin-syntax-import-meta@7.10.4;@babel;https://www.npmjs.com/package/@babel/plugin-syntax-import-meta;https://registry.npmjs.org/@babel/plugin-syntax-import-meta/-/plugin-syntax-import-meta-7.10.4.tgz;;MIT;;4e9d4b07176013c2380fa7fb0b539aa09b67241c20f3b90dc1bf7ba5441258390013cc20d49a2f975c310ee010ca07b80cad5ff7e6053d236f76b57de6674bd2;a492b67d-1467-4127-a50a-1dc31bb4e073
library;@babel/plugin-syntax-jsx;7.28.6;pkg:npm/%40babel/plugin-syntax-jsx@7.28.6;@babel;https://www.npmjs.com/package/@babel/plugin-syntax-jsx;https://registry.npmjs.org/@babel/plugin-syntax-jsx/-/plugin-syntax-jsx-7.28.6.tgz;;MIT;;3d24ad7b5f7a535c7b408a420f5e6e16197e6786854f350ebded08a614b9a8af52799ef6f69e2f8650b2961d0096cfa9db36b9bb7d9feb0a89ad8b8dd01d5789;430239f5-1a09-4bd5-95ee-f9776b29ac10
library;@babel/plugin-syntax-typescript;7.28.6;pkg:npm/%40babel/plugin-syntax-typescript@7.28.6;@babel;https://www.npmjs.com/package/@babel/plugin-syntax-typescript;https://registry.npmjs.org/@babel/plugin-syntax-typescript/-/plugin-syntax-typescript-7.28.6.tgz;;MIT;;38d84dfc85213113ba85da7d760d3a26a04c3e4ea138f1086e61ba010b6ffe1d29b40814a317772d0ad0d6c35aefdb70bbbb01262ce81a46e5e5de90ee92af66;a570eb13-3298-483e-ad5a-f85d8a1cca13
library;@babel/plugin-transform-typescript;7.28.6;pkg:npm/%40babel/plugin-transform-typescript@7.28.6;@babel;https://www.npmjs.com/package/@babel/plugin-transform-typescript;https://registry.npmjs.org/@babel/plugin-transform-typescript/-/plugin-transform-typescript-7.28.6.tgz;;MIT;;4a43abba9520eb501a79a49d5e2fd79a62a3f645fd7953473abbc41cfc39e71a41b62056a28650731365a3610a27a56f48c7158103e026f3f8a8bc2fea391467;8ec4a31a-daeb-41a1-b0d5-3b4ff2a594d8
library;@babel/runtime;7.29.2;pkg:npm/%40babel/runtime@7.29.2;@babel;https://www.npmjs.com/package/@babel/runtime;https://registry.npmjs.org/@babel/runtime/-/runtime-7.29.2.tgz;;MIT;;208eb62c07ce76fa6b3f739ad26fe2d83fdf01ddf3f1e0fec1f9e76cf1a0ad4c8e4eaef1603cf8d6789ce40bb93d8069140d5500c1415649c547791da5ff4047;61a3bab8-f56a-4509-8b5f-5a364f3b40bd
library;@babel/template;7.28.6;pkg:npm/%40babel/template@7.28.6;@babel;https://www.npmjs.com/package/@babel/template;https://registry.npmjs.org/@babel/template/-/template-7.28.6.tgz;;MIT;;e18fb08a6ee53af3f7cf1d38a895649c4ef2c08d5bd6fa720d0e036553155fcc3396ac0d9ab4382936e83e0f4933cad836bcb2bbd6d28d7e0d599a17be715798;54bc342e-a63e-46e7-8d4e-f31b109e3191
library;@babel/traverse;7.29.0;pkg:npm/%40babel/traverse@7.29.0;@babel;https://www.npmjs.com/package/@babel/traverse;https://registry.npmjs.org/@babel/traverse/-/traverse-7.29.0.tgz;;MIT;;c37799d570786b4fb1f4ed1e44641b497973b77b9cc56c5820c16596508501381bb67d162f8a3a44b345a1469ce7ef7bae310c641ab285ebecbfa9affd78e80d;d9e10580-8320-4711-b77a-173ce3da6fc2
library;@babel/types;7.29.0;pkg:npm/%40babel/types@7.29.0;@babel;https://www.npmjs.com/package/@babel/types;https://registry.npmjs.org/@babel/types/-/types-7.29.0.tgz;;MIT;;5b6fe61d2ed347a5aaf5d3096e9b5baef259fbf5e98d56f3ffc316ef00a50a821b9f8db7ad9ce6f529e92ff10023332a85dbdcbed5ee2038928a5835e935687e;a7347793-b365-4bc9-9384-42e930b44aa0
library;babel-walk;3.0.0-canary-5;pkg:npm/babel-walk@3.0.0-canary-5;;https://www.npmjs.com/package/babel-walk;https://registry.npmjs.org/babel-walk/-/babel-walk-3.0.0-canary-5.tgz;;MIT;;863ef6ad8e17a0c88b02b92f41b6aabc9fcba2ad8d3ea83c2e90aac7d7b40a4f820b3b58c056efa21f82cb827767ba5b07814a2b6d8b5eeff04c70fd592f9bff;b46655a1-7a08-445a-92bd-a97319139f6f
